Nationality,Overall,Potential,Value,International Reputation,Age
Brazil,62,76,550000,1,18
Germany,62,76,600000,1,20
Netherlands,62,62,300000,1,28
England,62,67,350000,1,25
Sweden,62,65,375000,1,25
Germany,62,70,450000,1,23
France,62,71,350000,1,20
England,62,70,450000,1,22
England,62,62,70000,1,35
England,62,62,300000,1,29
Chile,62,62,230000,1,32
France,62,73,400000,1,17
France,62,76,600000,1,19
England,62,70,450000,1,21
France,62,62,240000,1,28
England,62,66,375000,1,25
England,62,71,450000,1,19
France,62,71,400000,1,23
Spain,62,62,230000,1,32
England,62,71,400000,1,22
Germany,62,77,650000,1,19
Spain,62,72,425000,1,21
Argentina,62,74,475000,1,21
England,62,73,525000,1,21
Denmark,62,73,525000,1,20
France,62,73,450000,1,22
France,62,62,325000,1,27
Argentina,62,62,270000,1,31
France,62,63,290000,1,26
Sweden,62,67,350000,1,25
England,62,62,70000,1,35
Sweden,62,65,325000,1,26
England,62,62,300000,1,29
Brazil,62,68,300000,1,22
Netherlands,62,67,350000,1,21
England,62,63,290000,1,27
France,62,69,425000,1,22
England,62,70,375000,1,23
England,62,62,260000,1,27
Spain,62,74,450000,1,19
England,62,69,425000,1,21
Wales,62,73,450000,1,21
Chile,62,77,625000,1,18
Belgium,62,72,500000,1,20
England,62,62,270000,1,31
England,62,76,550000,1,20
Spain,62,66,400000,1,24
Italy,62,76,675000,1,20
France,62,69,425000,1,22
England,62,62,290000,1,30
France,62,62,120000,1,33
Argentina,62,77,600000,1,19
Germany,62,65,325000,1,25
Spain,62,75,575000,1,19
Germany,62,62,250000,1,28
Italy,62,64,375000,1,25
Argentina,62,76,675000,1,20
Sweden,62,67,400000,1,24
Spain,62,70,375000,1,23
Mexico,62,72,500000,1,20
Brazil,62,71,425000,1,18
England,62,62,190000,1,30
Chile,62,73,500000,1,22
Italy,62,69,425000,1,21
Netherlands,62,76,650000,1,19
France,62,65,300000,1,26
France,62,77,625000,1,18
Mexico,62,63,350000,1,27
Netherlands,62,72,500000,1,20
Germany,62,72,425000,1,20
England,62,73,525000,1,20
Chile,62,72,500000,1,22
Spain,62,68,425000,1,21
Denmark,62,67,400000,1,24
Sweden,62,62,170000,1,32
France,62,70,325000,1,22
Uruguay,62,66,325000,1,25
England,62,77,600000,1,19
Uruguay,62,67,350000,1,24
Netherlands,62,80,550000,1,18
Switzerland,62,62,120000,1,34
Colombia,62,62,200000,1,31
Spain,62,68,300000,1,22
England,62,65,375000,1,25
Chile,62,62,325000,1,26
Spain,62,69,425000,1,22
England,62,67,400000,1,23
England,62,65,325000,1,26
Chile,62,62,230000,1,30
France,62,70,375000,1,23
Sweden,62,63,290000,1,25
Germany,62,75,500000,1,19
Spain,62,72,425000,1,21
England,62,65,325000,1,26
Italy,62,65,260000,1,26
Spain,62,72,425000,1,20
Spain,62,70,450000,1,22
England,62,75,500000,1,19
Croatia,62,71,400000,1,20
England,62,62,280000,1,30
Germany,62,65,375000,1,24
Chile,62,76,600000,1,20
Chile,62,72,500000,1,21
Colombia,62,71,400000,1,22
Colombia,62,62,250000,1,27
Germany,62,69,350000,1,22
France,62,70,375000,1,22
Croatia,62,69,325000,1,22
Belgium,62,70,450000,1,21
Germany,62,75,575000,1,20
Mexico,62,75,525000,1,20
Brazil,62,68,300000,1,25
Germany,62,72,425000,1,20
Germany,62,70,375000,1,22
Spain,62,70,450000,1,20
Argentina,62,62,325000,1,28
Portugal,62,62,240000,1,28
Argentina,62,69,350000,1,23
Sweden,62,79,675000,1,20
Italy,62,78,575000,1,19
Sweden,62,64,250000,1,29
Argentina,62,70,325000,1,24
Colombia,62,62,200000,1,31
Sweden,62,63,280000,1,27
England,62,62,200000,1,27
England,62,73,525000,1,20
England,62,74,425000,1,18
Poland,62,76,675000,1,20
England,62,66,325000,1,24
Colombia,62,62,230000,1,30
Germany,62,72,425000,1,21
Netherlands,62,75,425000,1,18
England,62,71,450000,1,19
England,62,79,600000,1,20
Netherlands,62,65,270000,1,25
Italy,62,74,475000,1,20
Denmark,62,72,425000,1,22
Germany,62,62,220000,1,30
France,62,86,650000,1,17
France,62,72,425000,1,22
Sweden,62,68,350000,1,21
Sweden,62,67,400000,1,22
France,62,79,675000,1,20
Wales,62,62,150000,1,33
Poland,62,62,220000,1,30
France,62,79,650000,1,19
Sweden,62,71,400000,1,21
Italy,62,62,300000,1,29
England,61,76,500000,1,20
Netherlands,61,74,400000,1,18
Mexico,61,74,400000,1,20
Netherlands,61,70,375000,1,19
Argentina,61,62,220000,1,29
Denmark,61,61,100000,2,33
Mexico,61,73,400000,1,20
France,61,69,325000,1,20
Denmark,61,71,425000,1,21
Argentina,61,79,525000,1,19
England,61,75,550000,1,20
Chile,61,68,300000,1,22
Colombia,61,70,300000,1,21
England,61,82,550000,1,17
England,61,67,350000,1,24
England,61,64,325000,1,25
Argentina,61,77,475000,1,19
Denmark,61,73,375000,1,19
Spain,61,75,450000,1,18
England,61,73,450000,1,21
Belgium,61,67,290000,1,23
England,61,70,300000,1,21
Mexico,61,71,400000,1,21
Argentina,61,76,550000,1,20
Argentina,61,73,450000,1,20
Italy,61,61,140000,1,32
Colombia,61,74,475000,1,21
England,61,69,325000,1,22
England,61,69,375000,1,21
Germany,61,70,350000,1,21
Argentina,61,80,500000,1,19
Mexico,61,61,210000,1,27
Germany,61,75,550000,1,20
England,61,61,240000,1,30
Italy,61,66,325000,1,23
England,61,61,200000,1,28
England,61,69,325000,1,22
Sweden,61,71,350000,1,21
Mexico,61,75,525000,1,18
England,61,79,525000,1,18
Argentina,61,69,375000,1,21
Poland,61,72,375000,1,20
England,61,65,325000,1,24
England,61,64,325000,1,24
Italy,61,80,500000,1,17
Argentina,61,61,140000,1,32
England,61,61,260000,1,27
Colombia,61,61,190000,1,29
Chile,61,71,350000,1,22
France,61,77,550000,1,20
Argentina,61,71,400000,1,20
Spain,61,75,475000,1,19
Germany,61,78,550000,1,19
Spain,61,69,375000,1,22
Netherlands,61,68,300000,1,20
France,61,74,425000,1,19
Germany,61,71,400000,1,21
Poland,61,68,350000,1,22
Wales,61,76,500000,1,21
Germany,61,73,400000,1,22
England,61,74,425000,1,21
Germany,61,61,140000,1,32
Sweden,61,70,290000,1,22
Germany,61,63,250000,1,26
England,61,65,270000,1,24
England,61,63,250000,1,27
Germany,61,80,500000,1,17
Argentina,61,74,500000,1,20
Colombia,61,81,450000,1,17
Brazil,61,66,350000,1,24
Spain,61,74,425000,1,21
England,61,66,325000,1,22
Poland,61,71,350000,1,19
Croatia,61,68,350000,1,23
Germany,61,64,325000,1,25
Poland,61,71,400000,1,20
Germany,61,69,325000,1,20
Sweden,61,61,260000,1,28
England,61,69,325000,1,21
Mexico,61,76,525000,1,18
Colombia,61,61,130000,1,33
France,61,75,550000,1,19
France,61,64,300000,1,26
Sweden,61,61,260000,1,27
Chile,61,78,550000,1,19
Mexico,61,79,525000,1,18
France,61,78,500000,1,19
Colombia,61,76,550000,1,20
Chile,61,72,450000,1,21
Poland,61,70,400000,1,21
Sweden,61,65,230000,1,25
France,61,63,210000,1,26
Chile,61,76,475000,1,18
England,61,65,280000,1,22
Mexico,61,70,325000,1,19
Sweden,61,61,170000,1,29
Chile,61,73,350000,1,21
England,61,72,325000,1,19
Argentina,61,69,375000,1,22
England,61,75,550000,1,19
Germany,61,68,300000,1,22
Germany,61,72,375000,1,20
Poland,61,64,325000,1,25
Germany,61,75,500000,1,19
Germany,61,76,550000,1,20
Argentina,61,73,400000,1,21
Germany,61,73,450000,1,20
Germany,61,74,475000,1,20
Germany,61,70,400000,1,21
Switzerland,61,64,325000,1,24
Argentina,61,67,350000,1,23
Germany,61,69,375000,1,20
France,61,72,350000,1,20
Germany,61,61,60000,1,35
England,61,61,80000,1,37
Croatia,61,61,170000,1,31
Germany,61,77,550000,1,20
Italy,61,72,375000,1,23
Chile,61,68,300000,1,22
England,61,61,120000,1,35
Chile,61,77,450000,1,18
Argentina,61,72,450000,1,20
France,61,68,260000,1,24
Germany,61,77,475000,1,19
Germany,61,66,240000,1,25
England,61,73,450000,1,20
Germany,61,82,500000,1,17
England,61,63,325000,1,25
Colombia,61,68,300000,1,24
England,61,69,325000,1,22
Germany,61,73,400000,1,21
Spain,61,68,300000,1,22
Wales,61,63,210000,1,28
England,61,66,325000,1,24
Germany,61,69,325000,1,23
Spain,61,68,260000,1,23
Germany,61,69,375000,1,22
Spain,61,81,475000,1,18
Colombia,61,67,250000,1,25
Spain,61,70,290000,1,23
Belgium,61,73,375000,1,19
Sweden,61,67,350000,1,22
England,61,76,550000,1,19
France,61,74,425000,1,21
Germany,61,65,270000,1,23
England,61,61,160000,1,31
France,61,73,450000,1,21
Spain,61,71,350000,1,21
England,61,64,325000,1,25
Denmark,61,65,325000,1,24
Denmark,61,74,425000,1,20
France,61,61,250000,1,28
Colombia,61,72,425000,1,22
Mexico,61,78,500000,1,19
Spain,61,69,375000,1,20
Germany,61,64,325000,1,25
Denmark,61,75,550000,1,20
England,61,79,525000,1,18
England,61,61,250000,1,29
Chile,61,69,325000,1,21
Germany,61,66,290000,1,22
Mexico,61,74,425000,1,20
Spain,61,71,300000,1,22
England,61,70,290000,1,22
Netherlands,61,77,525000,1,18
England,61,70,325000,1,22
Germany,61,61,200000,1,32
Spain,61,71,350000,1,20
France,61,64,325000,1,24
Mexico,61,71,400000,1,21
Colombia,61,71,350000,1,23
Spain,61,74,475000,1,19
Germany,61,66,290000,1,23
England,61,61,260000,1,27
Chile,61,72,375000,1,19
France,61,63,325000,1,24
England,61,63,300000,1,24
Spain,61,61,250000,1,28
Germany,61,70,290000,1,22
Chile,61,76,550000,1,19
Denmark,61,61,60000,1,35
Germany,61,70,350000,1,21
Germany,61,68,350000,1,22
Denmark,61,61,250000,1,28
Brazil,61,75,450000,1,19
Germany,61,72,375000,1,20
Germany,61,71,325000,1,21
Argentina,61,61,250000,1,28
Croatia,61,71,400000,1,20
Sweden,61,72,375000,1,19
Croatia,61,62,240000,1,27
Portugal,61,81,525000,1,18
Germany,61,77,525000,1,19
England,61,65,270000,1,23
Poland,61,61,270000,1,26
France,61,79,425000,1,18
Spain,61,73,400000,1,21
Spain,61,77,550000,1,20
Switzerland,61,73,450000,1,20
Argentina,61,79,525000,1,18
Poland,61,70,375000,1,20
Mexico,61,69,325000,1,22
England,61,61,270000,1,26
Germany,61,67,350000,1,23
Spain,61,71,400000,1,21
Poland,61,63,250000,1,27
England,61,70,400000,1,21
Argentina,61,70,400000,1,21
Netherlands,61,75,525000,1,18
Argentina,61,70,375000,1,22
Argentina,61,71,400000,1,22
Argentina,61,74,475000,1,20
France,61,64,325000,1,26
Spain,61,78,450000,1,19
Germany,61,67,250000,1,23
Colombia,61,68,300000,1,21
Mexico,61,72,375000,1,22
Mexico,61,75,500000,1,19
Sweden,61,62,230000,1,27
England,61,66,325000,1,22
Spain,61,70,375000,1,23
France,61,78,500000,1,19
Germany,61,62,300000,1,26
Mexico,61,71,300000,1,23
Germany,61,69,375000,1,21
Poland,61,61,140000,1,32
Germany,61,69,375000,1,21
Spain,61,69,325000,1,21
Poland,61,61,200000,1,28
Spain,61,69,375000,1,22
Spain,61,69,375000,1,23
Mexico,61,73,450000,1,20
Mexico,61,61,20000,1,37
Germany,61,75,550000,1,19
Netherlands,61,70,400000,1,21
Germany,61,69,375000,1,21
Argentina,61,73,400000,1,20
Italy,61,62,220000,1,29
Mexico,61,69,375000,1,21
Germany,61,72,425000,1,20
Germany,61,68,300000,1,21
Spain,61,81,500000,1,17
England,61,72,350000,1,21
Sweden,61,67,350000,1,23
England,61,84,575000,1,18
Spain,61,74,475000,1,21
England,61,63,260000,1,24
England,61,68,300000,1,23
Argentina,61,80,475000,1,18
England,61,65,270000,1,23
Spain,61,71,425000,1,21
Mexico,61,65,230000,1,25
Netherlands,61,76,525000,1,18
England,61,61,190000,1,32
Germany,61,69,325000,1,21
Italy,61,61,80000,1,34
Germany,61,66,280000,1,23
France,61,70,325000,1,20
England,61,61,150000,1,33
Germany,61,67,350000,1,22
Argentina,61,78,500000,1,19
Italy,61,68,260000,1,22
Netherlands,61,75,475000,1,18
Italy,61,66,240000,1,25
Mexico,61,62,280000,1,27
Argentina,61,72,425000,1,22
Wales,61,61,200000,1,28
England,61,64,220000,1,26
England,61,61,250000,1,28
England,61,67,250000,1,22
Germany,61,68,260000,1,24
Italy,61,69,375000,1,22
Argentina,61,61,160000,1,33
Colombia,61,68,350000,1,23
Argentina,61,66,325000,1,24
France,61,66,350000,1,23
Chile,61,71,400000,1,19
Spain,61,68,260000,1,22
Spain,61,79,450000,1,18
Germany,61,67,250000,1,24
Argentina,61,81,525000,1,18
England,61,68,350000,1,22
England,61,64,270000,1,22
Italy,61,68,300000,1,21
Colombia,61,73,400000,1,20
Mexico,61,65,325000,1,24
Sweden,61,66,325000,1,22
Spain,61,63,200000,1,29
Netherlands,61,75,550000,1,19
Brazil,61,61,130000,1,34
Sweden,61,69,325000,1,22
Spain,61,68,300000,1,23
England,61,61,260000,1,28
Switzerland,61,61,140000,1,32
Netherlands,61,70,290000,1,22
Italy,61,73,450000,1,21
England,61,74,475000,1,21
Wales,61,68,300000,1,24
France,61,71,350000,1,21
Sweden,61,66,280000,1,24
Belgium,61,72,350000,1,20
Argentina,61,75,550000,1,21
England,61,64,325000,1,23
Germany,61,83,500000,1,17
England,61,64,270000,1,24
England,61,61,210000,1,26
Chile,61,79,550000,1,19
England,61,61,70000,1,34
France,61,78,500000,1,19
England,61,66,325000,1,23
Switzerland,61,71,350000,1,23
Sweden,61,74,475000,1,20
Germany,61,77,550000,1,19
Switzerland,61,62,240000,1,26
England,61,77,475000,1,19
Spain,61,73,350000,1,20
Colombia,61,72,375000,1,22
Germany,61,79,475000,1,18
England,61,69,375000,1,23
Netherlands,61,65,280000,1,22
Colombia,61,61,260000,1,27
France,61,68,350000,1,22
Colombia,61,71,400000,1,22
Poland,61,64,260000,1,25
Germany,61,70,325000,1,22
Denmark,61,72,425000,1,19
Switzerland,61,78,475000,1,19
Brazil,61,61,270000,1,26
Germany,61,61,280000,1,26
Belgium,61,79,500000,1,17
Colombia,61,74,475000,1,19
Spain,61,67,350000,1,23
Mexico,61,69,325000,1,21
Sweden,61,64,325000,1,25
Argentina,61,75,450000,1,21
Argentina,61,73,400000,1,22
Italy,61,70,400000,1,20
Chile,61,71,300000,1,19
England,61,71,350000,1,20
Argentina,61,76,550000,1,19
Germany,61,66,280000,1,24
Germany,61,70,325000,1,21
Germany,61,66,325000,1,22
Belgium,61,67,350000,1,23
France,61,65,270000,1,26
England,61,61,240000,1,29
Italy,61,73,450000,1,20
England,61,61,200000,1,29
Colombia,61,69,325000,1,22
England,61,75,450000,1,19
Wales,61,67,290000,1,24
Brazil,61,62,240000,1,26
France,61,81,450000,1,17
England,61,61,130000,1,34
Italy,61,73,425000,1,19
Poland,61,67,290000,1,23
England,61,69,375000,1,21
England,61,72,450000,1,20
Poland,61,73,450000,1,19
England,61,76,450000,1,20
Denmark,61,64,325000,1,25
England,61,75,550000,1,19
England,61,61,150000,1,31
Chile,61,63,300000,1,25
Italy,61,73,350000,1,21
Chile,61,69,375000,1,23
England,61,73,450000,1,21
Mexico,61,70,400000,1,20
Uruguay,61,71,350000,1,20
England,61,80,500000,1,17
Argentina,61,77,550000,1,19
France,61,65,325000,1,25
Mexico,61,73,400000,1,20
Germany,61,72,450000,1,20
Italy,61,70,350000,1,20
England,61,61,200000,1,32
Netherlands,61,63,300000,1,24
France,61,79,425000,1,18
Mexico,61,74,425000,1,20
Colombia,61,74,425000,1,20
Colombia,61,70,325000,1,23
Mexico,61,74,475000,1,20
England,61,67,350000,1,23
England,61,71,350000,1,21
Switzerland,61,77,500000,1,20
Colombia,61,64,325000,1,25
England,61,61,250000,1,28
England,61,73,450000,1,21
France,61,70,400000,1,21
Argentina,61,61,210000,1,27
France,61,70,400000,1,21
Denmark,61,73,450000,1,20
England,61,76,500000,1,17
Argentina,61,72,450000,1,21
Argentina,61,67,350000,1,22
France,61,75,500000,1,20
Spain,61,71,400000,1,20
Belgium,61,73,425000,1,19
England,61,69,325000,1,22
England,61,74,425000,1,20
Denmark,61,75,500000,1,21
Argentina,61,75,500000,1,20
Switzerland,61,72,375000,1,21
Italy,61,81,525000,1,18
England,61,69,280000,1,22
Wales,61,65,325000,1,25
Colombia,61,68,300000,1,24
Chile,61,74,475000,1,19
Belgium,61,71,425000,1,20
England,61,68,350000,1,21
France,61,63,200000,1,27
Sweden,61,64,260000,1,26
England,61,67,350000,1,24
Germany,61,70,400000,1,21
Sweden,61,61,260000,1,27
Switzerland,61,61,200000,1,29
Chile,61,71,400000,1,19
Denmark,61,68,350000,1,23
England,61,61,250000,1,28
Argentina,61,75,550000,1,20
England,61,79,525000,1,18
France,61,77,475000,1,18
Chile,61,77,525000,1,18
Netherlands,61,66,290000,1,24
Colombia,61,69,375000,1,21
Poland,60,71,325000,1,20
Wales,60,80,375000,1,18
Netherlands,60,66,280000,1,20
Sweden,60,70,325000,1,20
England,60,74,450000,1,20
England,60,75,450000,1,19
Spain,60,72,325000,1,17
Spain,60,68,300000,1,22
Colombia,60,65,200000,1,25
Italy,60,63,220000,1,23
Argentina,60,61,250000,1,26
Germany,60,70,290000,1,21
Germany,60,76,425000,1,18
Mexico,60,72,375000,1,20
Netherlands,60,80,450000,1,19
Spain,60,62,170000,1,27
Switzerland,60,69,280000,1,21
Colombia,60,80,375000,1,18
Sweden,60,63,260000,1,24
Poland,60,74,375000,1,18
Spain,60,70,260000,1,22
England,60,82,450000,1,17
Colombia,60,65,230000,1,25
Colombia,60,76,450000,1,19
Switzerland,60,63,210000,1,25
Mexico,60,69,325000,1,20
Italy,60,69,280000,1,21
Mexico,60,73,350000,1,21
Brazil,60,66,240000,1,24
Chile,60,71,280000,1,22
England,60,70,290000,1,21
Colombia,60,71,350000,1,21
England,60,71,325000,1,20
Germany,60,61,170000,1,28
Italy,60,78,400000,1,19
England,60,63,180000,1,25
Netherlands,60,71,280000,1,20
Germany,60,69,325000,1,22
Chile,60,74,400000,1,17
England,60,64,190000,1,26
Sweden,60,70,325000,1,22
Netherlands,60,71,350000,1,19
Spain,60,67,250000,1,22
Germany,60,80,400000,1,17
Spain,60,70,260000,1,21
Poland,60,75,375000,1,18
Spain,60,71,350000,1,19
England,60,69,300000,1,19
Germany,60,75,400000,1,19
Colombia,60,65,230000,1,25
Belgium,60,67,290000,1,22
England,60,72,375000,1,19
Germany,60,77,450000,1,19
Germany,60,72,325000,1,20
Colombia,60,67,290000,1,21
France,60,80,375000,1,17
England,60,70,325000,1,21
Mexico,60,64,220000,1,23
Colombia,60,69,325000,1,23
Sweden,60,60,150000,1,30
Germany,60,72,325000,1,20
Germany,60,75,400000,1,19
Italy,60,76,400000,1,19
Poland,60,76,375000,1,18
England,60,77,450000,1,19
Germany,60,76,375000,1,18
Italy,60,70,260000,1,20
Portugal,60,76,450000,1,19
Chile,60,76,450000,1,19
Spain,60,70,290000,1,21
England,60,73,400000,1,20
England,60,61,210000,1,24
England,60,72,325000,1,21
Netherlands,60,69,325000,1,21
Argentina,60,74,425000,1,20
Argentina,60,71,350000,1,20
Spain,60,68,230000,1,22
England,60,66,210000,1,22
Sweden,60,72,350000,1,19
England,60,77,400000,1,19
Italy,60,80,375000,1,18
Spain,60,69,230000,1,19
Poland,60,67,250000,1,22
Mexico,60,67,210000,1,24
Germany,60,60,170000,1,28
Colombia,60,73,350000,1,22
France,60,77,400000,1,19
England,60,65,240000,1,22
Netherlands,60,67,250000,1,20
Italy,60,72,325000,1,19
Denmark,60,62,210000,1,26
Colombia,60,65,230000,1,24
Argentina,60,77,450000,1,19
England,60,75,375000,1,17
Spain,60,77,450000,1,19
Italy,60,67,210000,1,22
England,60,66,240000,1,20
England,60,66,280000,1,22
Germany,60,67,250000,1,21
Chile,60,73,350000,1,19
Brazil,60,65,280000,1,23
Colombia,60,64,270000,1,25
England,60,70,350000,1,20
Colombia,60,70,290000,1,23
Colombia,60,74,400000,1,19
Portugal,60,73,300000,1,19
Spain,60,65,200000,1,24
England,60,64,280000,1,21
Belgium,60,74,375000,1,18
England,60,60,180000,1,31
Italy,60,64,180000,1,27
Germany,60,63,180000,1,25
Italy,60,66,210000,1,24
Germany,60,66,210000,1,21
England,60,63,210000,1,25
Switzerland,60,76,425000,1,20
Argentina,60,68,300000,1,23
Spain,60,68,230000,1,22
England,60,60,90000,2,35
Argentina,60,74,450000,1,21
Netherlands,60,71,290000,1,18
Italy,60,67,290000,1,23
France,60,76,425000,1,17
England,60,60,50000,1,35
Germany,60,68,300000,1,22
France,60,71,300000,1,19
Netherlands,60,68,250000,1,19
Brazil,60,71,325000,1,20
Germany,60,60,150000,1,30
Argentina,60,73,350000,1,19
Germany,60,70,290000,1,21
Mexico,60,64,270000,1,23
England,60,77,450000,1,19
Germany,60,71,325000,1,21
Germany,60,69,240000,1,23
Denmark,60,71,350000,1,21
Colombia,60,79,425000,1,18
Spain,60,69,240000,1,23
Argentina,60,68,270000,1,21
England,60,60,210000,1,28
France,60,77,450000,1,19
Germany,60,75,375000,1,20
France,60,60,200000,1,29
Italy,60,65,240000,1,23
Poland,60,60,150000,1,28
Argentina,60,74,375000,1,19
France,60,70,290000,1,22
England,60,64,270000,1,25
Germany,60,76,400000,1,19
France,60,73,400000,1,19
England,60,60,50000,1,39
Argentina,60,73,400000,1,20
Italy,60,82,400000,1,17
Italy,60,70,350000,1,21
Spain,60,70,260000,1,20
Denmark,60,62,250000,1,26
Colombia,60,73,325000,1,20
England,60,61,170000,1,28
Germany,60,74,425000,1,21
England,60,69,325000,1,21
England,60,71,350000,1,19
Italy,60,71,350000,1,22
Switzerland,60,79,450000,1,19
Germany,60,69,280000,1,21
Denmark,60,77,450000,1,19
Poland,60,67,250000,1,23
Argentina,60,71,325000,1,20
England,60,70,280000,1,19
England,60,60,170000,1,27
Argentina,60,71,350000,1,20
Germany,60,67,240000,1,22
Argentina,60,77,450000,1,19
Germany,60,79,375000,1,18
Argentina,60,80,400000,1,17
Germany,60,60,80000,1,34
England,60,60,210000,1,27
Argentina,60,61,160000,1,29
Croatia,60,70,260000,1,21
Belgium,60,72,350000,1,19
Spain,60,73,400000,1,21
Sweden,60,69,270000,1,22
Sweden,60,72,375000,1,20
Denmark,60,73,375000,1,18
France,60,69,325000,1,20
Argentina,60,77,425000,1,17
Italy,60,62,170000,1,26
France,60,70,290000,1,21
Argentina,60,77,450000,1,19
Argentina,60,70,325000,1,22
Mexico,60,72,350000,1,19
England,60,60,110000,1,34
England,60,60,190000,1,30
France,60,72,375000,1,21
France,60,82,400000,1,18
Colombia,60,67,240000,1,24
Wales,60,68,230000,1,22
Chile,60,67,290000,1,20
Italy,60,75,450000,1,19
Poland,60,67,300000,1,23
Germany,60,69,325000,1,21
England,60,60,120000,1,32
England,60,78,450000,1,19
Sweden,60,71,350000,1,20
Belgium,60,79,425000,1,18
England,60,60,210000,1,28
Italy,60,79,375000,1,19
England,60,60,160000,1,28
France,60,69,325000,1,21
Germany,60,70,260000,1,20
England,60,60,170000,1,28
England,60,60,90000,1,35
Switzerland,60,76,450000,1,19
Colombia,60,69,300000,1,19
Argentina,60,75,400000,1,19
Germany,60,60,130000,1,33
Colombia,60,73,400000,1,19
France,60,63,220000,1,24
France,60,67,250000,1,20
Poland,60,60,210000,1,28
Wales,60,61,250000,1,26
England,60,63,260000,1,25
Chile,60,63,170000,1,27
France,60,69,325000,1,23
Sweden,60,60,190000,1,30
Netherlands,60,70,325000,1,20
England,60,69,325000,1,20
Denmark,60,72,325000,1,20
Poland,60,68,300000,1,20
Germany,60,69,325000,1,22
Argentina,60,76,425000,1,20
Argentina,60,69,325000,1,22
Sweden,60,73,375000,1,18
England,60,69,280000,1,22
Poland,60,66,240000,1,22
Germany,60,81,400000,1,17
Mexico,60,76,450000,1,19
Mexico,60,65,270000,1,23
Sweden,60,70,325000,1,20
Denmark,60,60,220000,1,26
Germany,60,74,450000,1,19
Germany,60,67,290000,1,21
Italy,60,69,280000,1,23
England,60,66,280000,1,23
Germany,60,61,250000,1,25
France,60,70,325000,1,20
Argentina,60,80,425000,1,18
Poland,60,60,170000,1,27
Argentina,60,69,240000,1,21
England,60,70,290000,1,21
Argentina,60,69,325000,1,22
Italy,60,70,350000,1,21
Netherlands,60,69,280000,1,20
Italy,60,67,250000,1,24
Mexico,60,70,290000,1,22
England,60,68,260000,1,22
Spain,60,81,400000,1,17
Spain,60,73,400000,1,19
Italy,60,70,325000,1,19
France,60,74,450000,1,20
Switzerland,60,72,350000,1,19
Colombia,60,71,325000,1,20
Argentina,60,67,210000,1,24
France,60,71,325000,1,20
Germany,60,71,350000,1,20
England,60,68,300000,1,21
Germany,60,68,300000,1,20
Sweden,60,69,325000,1,20
Wales,60,69,270000,1,22
France,60,64,190000,1,26
Germany,60,78,450000,1,19
Denmark,60,60,210000,1,28
Poland,60,61,160000,1,27
England,60,66,280000,1,23
Argentina,60,60,220000,1,27
Croatia,60,67,250000,1,21
Germany,60,60,10000,1,39
Spain,60,74,350000,1,18
Argentina,60,68,260000,1,24
Spain,60,67,290000,1,22
Germany,60,64,270000,1,24
Switzerland,60,75,450000,1,20
England,60,60,70000,1,37
Belgium,60,72,350000,1,19
Argentina,60,69,240000,1,23
Belgium,60,69,325000,1,20
Mexico,60,72,325000,1,20
Mexico,60,72,290000,1,21
Poland,60,75,450000,1,19
England,60,78,375000,1,17
England,60,60,150000,1,28
Germany,60,60,220000,1,26
Netherlands,60,71,300000,1,19
England,60,64,270000,1,24
Colombia,60,65,230000,1,25
Spain,60,76,425000,1,18
England,60,60,170000,1,27
England,60,75,450000,1,20
Belgium,60,71,280000,1,20
Argentina,60,68,260000,1,22
Italy,60,70,260000,1,22
Argentina,60,77,425000,1,18
Germany,60,70,260000,1,21
France,60,75,425000,1,20
England,60,60,110000,1,34
France,60,70,290000,1,21
Netherlands,60,77,400000,1,17
Sweden,60,71,350000,1,21
England,60,60,190000,1,30
England,60,75,425000,1,18
Argentina,60,66,280000,1,24
England,60,64,270000,1,22
Poland,60,68,270000,1,20
Spain,60,72,350000,1,19
Spain,60,66,210000,1,23
Netherlands,60,62,200000,1,28
Argentina,60,75,425000,1,17
England,60,74,450000,1,21
Colombia,60,73,400000,1,21
England,60,70,350000,1,21
Argentina,60,78,400000,1,17
Sweden,60,65,230000,1,25
Mexico,60,73,350000,1,21
Argentina,60,73,375000,1,19
France,60,64,220000,1,24
Spain,60,70,325000,1,22
England,60,71,325000,1,20
Sweden,60,60,140000,1,29
Germany,60,69,280000,1,21
Germany,60,66,210000,1,22
Germany,60,67,250000,1,20
England,60,62,260000,1,24
Germany,60,69,240000,1,22
Colombia,60,72,375000,1,21
France,60,65,280000,1,22
England,60,71,350000,1,20
Denmark,60,75,400000,1,19
England,60,77,425000,1,18
Belgium,60,71,325000,1,18
Poland,60,66,290000,1,23
Mexico,60,72,375000,1,21
Chile,60,75,425000,1,20
Germany,60,73,400000,1,19
England,60,65,270000,1,22
England,60,67,250000,1,22
Argentina,60,71,350000,1,22
Switzerland,60,75,450000,1,19
England,60,70,290000,1,20
England,60,74,450000,1,20
Sweden,60,61,200000,1,25
England,60,76,450000,1,19
Spain,60,73,350000,1,20
England,60,70,325000,1,22
Italy,60,70,290000,1,21
Italy,60,78,400000,1,17
Chile,60,75,450000,1,19
Poland,60,71,300000,1,19
Germany,60,71,300000,1,19
Italy,60,71,300000,1,20
Germany,60,68,230000,1,23
Chile,60,62,250000,1,26
Mexico,60,67,240000,1,24
Argentina,60,71,325000,1,20
France,60,74,450000,1,20
Sweden,60,64,220000,1,25
Netherlands,60,74,450000,1,20
Germany,60,81,400000,1,18
Italy,60,68,230000,1,23
Wales,60,71,325000,1,20
